,eff_stress,VP,VS,DEN,VSH_GR,PHIT_ND
0,13.18,2217.08,1150.02,2.14,0.11,0.31
1,13.19,2250.15,1316.29,2.11,0.04,0.33
2,13.2,2319.41,1392.79,2.15,0.07,0.29
3,13.21,2303.27,1420.02,2.17,0.02,0.29
4,13.22,2264.67,1271.86,2.17,0.0,0.3
5,13.23,2214.49,1168.03,2.05,0.04,0.35
6,13.24,2270.29,1278.34,2.09,0.02,0.34
7,13.25,2277.08,1403.93,2.13,0.09,0.31
8,13.25,2256.76,1342.93,2.14,0.0,0.31
9,13.26,2255.24,1333.43,2.14,0.05,0.32
10,13.28,2240.5,1267.89,2.1,0.33,0.34
11,13.29,2204.37,1057.94,2.04,0.31,0.36
12,13.31,2311.05,1057.82,2.11,0.19,0.33
13,16.67,2979.04,1456.25,2.35,0.69,0.32
14,16.69,2766.23,1343.64,2.26,0.45,0.25
15,16.71,2817.74,1363.69,2.32,0.46,0.27
16,16.73,3288.81,1719.48,2.33,0.71,0.27
17,16.74,2922.62,1460.89,2.28,0.57,0.25
18,16.76,2724.88,1315.72,2.17,0.15,0.34
19,16.78,3347.55,1831.36,2.07,0.07,0.37
20,16.8,2801.36,1379.52,2.18,0.21,0.32
21,16.81,2671.59,1278.7,2.14,0.21,0.34
22,16.83,2765.89,1338.5,2.23,0.26,0.31
23,16.85,2925.31,1451.02,2.3,0.39,0.29
24,16.87,3378.46,1793.44,2.43,0.38,0.24
25,16.89,3074.52,1555.41,2.36,0.37,0.29
26,16.91,2762.15,1323.62,2.24,0.39,0.32
27,16.93,2868.89,1388.83,2.37,0.32,0.3
28,16.94,2743.79,1308.2,2.26,0.36,0.32
29,16.96,2733.58,1309.55,2.26,0.2,0.31
30,16.98,2883.1,1402.96,2.36,0.38,0.29
31,17.0,2821.89,1403.93,2.1,0.17,0.36
32,17.02,2813.04,1398.74,2.11,0.13,0.34
33,17.03,2865.5,1440.24,2.15,0.13,0.33
34,17.05,2806.57,1376.82,2.16,0.37,0.33
35,17.07,2800.02,1369.42,2.14,0.38,0.34
36,17.08,2733.04,1306.03,2.24,0.29,0.33
37,17.1,2802.85,1349.58,2.33,0.35,0.29
38,17.12,2950.93,1511.74,2.32,0.08,0.22
39,17.14,2969.26,1523.45,2.25,0.03,0.27
40,17.16,2968.36,1525.65,2.19,0.08,0.3
41,17.18,2989.0,1545.32,2.18,0.04,0.3
42,17.19,2948.15,1510.33,2.19,0.08,0.29
43,17.21,2977.29,1533.58,2.18,0.08,0.3
44,17.23,2987.45,1540.85,2.17,0.1,0.31
45,17.24,3166.36,1685.11,2.18,0.08,0.3
46,17.26,2901.16,1444.14,2.26,0.3,0.3
47,17.28,2915.04,1451.85,2.2,0.45,0.32
48,17.3,2875.72,1433.22,2.25,0.36,0.27
49,17.32,2853.88,1413.29,2.21,0.2,0.33
50,17.33,2768.93,1340.65,2.14,0.47,0.34
51,17.35,2812.05,1380.82,2.23,0.4,0.28
52,17.37,2857.25,1393.08,2.27,0.42,0.32
53,17.39,2951.21,1498.87,2.31,0.0,0.27
54,17.41,2997.19,1553.07,2.22,0.02,0.28
55,17.42,3126.35,1655.54,2.25,0.04,0.26
56,17.44,3752.46,2145.01,2.28,0.05,0.27
57,17.46,3087.95,1623.36,2.23,0.06,0.27
58,17.48,3101.02,1633.64,2.24,0.07,0.27
59,17.5,3063.71,1601.61,2.23,0.08,0.28
60,17.52,3020.58,1566.05,2.23,0.12,0.27
61,17.73,3042.32,1560.53,2.2,0.14,0.35
62,17.75,2889.57,1446.47,2.13,0.17,0.36
63,17.76,2832.37,1394.0,2.1,0.18,0.4
64,17.77,2897.45,1442.41,2.13,0.19,0.4
65,17.79,2887.74,1455.82,2.11,0.18,0.34
66,17.8,2953.23,1509.56,2.15,0.16,0.32
67,17.82,3066.46,1600.04,2.14,0.16,0.33
68,17.83,2965.12,1517.84,2.14,0.15,0.34
69,17.84,2981.65,1528.91,2.11,0.22,0.34
70,17.86,2963.51,1513.24,2.11,0.24,0.35
71,17.87,2998.58,1543.12,2.12,0.21,0.34
72,17.88,3023.76,1565.63,2.13,0.17,0.33
73,17.9,3027.64,1568.52,2.15,0.17,0.32
74,17.91,3084.3,1613.68,2.14,0.18,0.33
75,17.92,3068.92,1598.97,2.13,0.22,0.33
76,17.94,3079.11,1607.86,2.15,0.2,0.31
77,17.95,3080.12,1609.13,2.18,0.2,0.3
78,17.96,2939.45,1479.78,2.15,0.29,0.35
79,17.98,2928.36,1474.71,2.13,0.31,0.35
80,17.99,2903.63,1457.14,2.13,0.27,0.35
81,18.0,2901.61,1453.56,2.13,0.29,0.35
